Date,Open,High,Low,Close,Volume
11/06/2020,"17.00","17.00","17.00","17.00","283"
11/02/2020,"17.00","17.00","17.00","17.00","32,000"
10/30/2020,"17.00","17.00","16.95","17.00","137,000"
10/29/2020,"17.00","17.00","16.95","17.00","50,000"
10/27/2020,"16.95","16.95","16.95","16.95","300"
10/26/2020,"16.95","16.95","16.95","16.95","695"
10/23/2020,"16.90","16.95","16.80","16.90","422"
10/22/2020,"16.95","16.95","16.95","16.95","200"
10/21/2020,"16.95","16.95","16.95","16.95","5"
10/20/2020,"16.80","16.80","16.80","16.80","1,000"
10/19/2020,"16.80","16.80","16.80","16.80","300"
10/08/2020,"16.97","16.97","16.97","16.97","1,580"
10/06/2020,"16.97","16.97","16.95","16.97","4,300"
09/29/2020,"16.97","17.00","16.95","16.97","21,423"
09/18/2020,"16.97","16.97","16.97","16.97","1,000"
09/16/2020,"16.97","16.97","16.97","16.97","688"
09/14/2020,"17.00","17.00","17.00","17.00","1,000"
09/09/2020,"16.97","16.97","16.97","16.97","352"
09/07/2020,"16.75","16.97","16.70","16.75","882"
09/04/2020,"16.72","16.95","16.70","16.72","5,000"
09/02/2020,"16.97","16.97","16.97","16.97","498"
08/27/2020,"17.00","17.00","17.00","17.00","10,071"
08/25/2020,"17.00","17.00","17.00","17.00","1,133"
08/18/2020,"17.00","17.00","17.00","17.00","361"
08/17/2020,"17.00","17.00","17.00","17.00","350"
08/14/2020,"17.00","17.00","17.00","17.00","7,114"
08/13/2020,"17.00","17.00","17.00","17.00","5,000"
08/07/2020,"16.98","17.00","16.95","16.98","5,000"
08/06/2020,"16.90","16.90","16.90","16.90","29,203"
08/03/2020,"16.90","16.90","16.90","16.90","738"
07/31/2020,"16.95","16.95","16.95","16.95","100"
07/30/2020,"16.95","16.95","16.95","16.95","300"
07/23/2020,"16.90","16.90","16.90","16.90","33"
07/22/2020,"16.90","16.90","16.90","16.90","793"
07/21/2020,"16.90","16.90","16.90","16.90","560"
07/20/2020,"16.90","16.90","16.90","16.90","1,490"
07/13/2020,"17.00","17.00","17.00","17.00","10,000"
07/10/2020,"17.00","17.00","17.00","17.00","20,000"
07/09/2020,"17.00","17.00","16.80","17.00","60,753"
07/08/2020,"16.89","16.90","16.88","16.89","503"
07/07/2020,"16.99","16.99","16.90","16.99","6,113"
07/06/2020,"16.99","16.99","16.99","16.99","119,728"
07/03/2020,"16.99","16.99","16.99","16.99","1,500"
07/02/2020,"16.96","16.98","16.90","16.96","272"
07/01/2020,"16.98","16.98","16.98","16.98","585"
06/30/2020,"16.99","16.99","16.98","16.99","223"
06/29/2020,"16.99","16.99","16.99","16.99","67,889"
06/26/2020,"16.99","16.99","16.99","16.99","150"
06/23/2020,"16.96","16.99","16.90","16.96","4,808"
06/22/2020,"16.99","16.99","16.99","16.99","117,050"
06/16/2020,"16.99","16.99","16.99","16.99","5,957"
06/15/2020,"16.99","16.99","16.99","16.99","850"
06/12/2020,"16.99","16.99","16.99","16.99","500"
06/10/2020,"16.99","16.99","16.99","16.99","1,700"
06/08/2020,"16.88","16.99","16.80","16.88","8,262"
06/05/2020,"16.99","16.99","16.99","16.99","5,500"
06/04/2020,"16.98","16.98","16.98","16.98","250"
06/03/2020,"16.99","16.99","16.99","16.99","1,560"
06/02/2020,"16.99","16.99","16.99","16.99","21,255"
06/01/2020,"16.99","16.99","16.99","16.99","6,221"
05/29/2020,"16.99","16.99","16.99","16.99","5,938"
05/27/2020,"16.99","16.99","16.99","16.99","7,238"
05/26/2020,"16.99","16.99","16.99","16.99","1,000"
05/22/2020,"16.99","16.99","16.99","16.99","36,167"
05/21/2020,"16.99","16.99","16.99","16.99","1,290"
05/20/2020,"16.99","16.99","16.99","16.99","591"
05/19/2020,"16.99","16.99","16.99","16.99","78,599"
05/18/2020,"16.99","17.05","16.99","16.99","56,231"
05/15/2020,"16.99","17.00","16.98","16.99","26,717"
05/14/2020,"16.98","16.98","16.98","16.98","1,143"
05/06/2020,"17.00","17.00","17.00","17.00","1,747"
05/05/2020,"17.05","17.05","17.05","17.05","946"
05/04/2020,"17.05","17.05","17.05","17.05","1,482"
05/01/2020,"17.05","17.05","17.05","17.05","575"
04/29/2020,"17.00","17.05","17.00","17.00","1,271"
04/28/2020,"17.05","17.05","17.05","17.05","2,500"
04/27/2020,"17.05","17.05","17.05","17.05","10,285"
04/22/2020,"17.95","17.95","17.95","17.95","1,506"
04/21/2020,"17.95","17.95","17.95","17.95","494"
04/17/2020,"18.02","18.02","18.02","18.02","4,820"
04/15/2020,"18.02","18.02","18.02","18.02","9,032"
